Tweet,Suicide,Clean_Tweet
he should tell them that his sister fixed it,Not Suicide post,tell sister fixed
something weird in that i couldn't stop thinking about him couldn't sleep then out of some old papers a card i di,Potential Suicide post ,something weird could n't stop thinking could n't sleep old paper card di
congratulations john i'm a creepy actor not a sweet actor,Not Suicide post,congratulation john 'm creepy actor sweet actor
he he thanks,Not Suicide post,thanks
in the photoshop,Not Suicide post,photoshop
normal workday for me i do still have plansaspirations to submit some info for the miz mag honest i do,Not Suicide post,normal workday still plansaspirations submit info miz mag honest
easy way is to go to mbk and get it hacked got a cn rom on his th phone,Not Suicide post,easy way go mbk get hacked got cn rom th phone
and i just dont want to fucking be here anymore please someone just fucking end me because i know itll be worse for everyone if i do it myself and fuck do i want to but please please someone just kill me please,Potential Suicide post ,dont want fucking anymore please someone fucking end know itll worse everyone fuck want please please someone kill please
i'm tired,Not Suicide post,'m tired
my cullen family jewellery set arrived this morning so happy,Not Suicide post,cullen family jewellery set arrived morning happy
getting ready to take kids to the farm,Not Suicide post,getting ready take kid farm
these boys might find it shocking that some internet stranger like myself would say fuck these guys,Potential Suicide post ,boy might find shocking internet stranger like would say fuck guy
i ate candy cigarettes but i didn't eat the wax once i drank the coke i did however eat the candy lips,Not Suicide post,ate candy cigarette n't eat wax drank coke however eat candy lip
i damn near hate smoking by myself but sometimes i like it cause i cant finish blunts and i be having some for later,Potential Suicide post ,damn near hate smoking sometimes like cause cant finish blunts later
is going to get some cereallllllll will be living off lucky charms next week woopwoop,Not Suicide post,going get cereallllllll living lucky charm next week woopwoop
quottagged as punk punk rock pop punk new york more people should listen to this band quot,Not Suicide post,quottagged punk punk rock pop punk new york people listen band quot
it's a great time in life we can help you design an amazing wedding,Not Suicide post,'s great time life help design amazing wedding
wow wow good to hear,Not Suicide post,wow wow good hear
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hulonely or overwhelmed the one thought i cant shake is killing myself,Potential Suicide post ,feeling overwhelmed wanting die tried kill today wanted boyfriend help somehow since see depression spiral say get better know currently feel trapped home friend constantly feel weak unmotivated desire sex partner tend find worst lately love thing amplifies depression dont want die get hulonely overwhelmed one thought cant shake killing
asking everyone to send out happy 'headfirst' vibes to,Not Suicide post,asking everyone send happy 'headfirst ' vibe
and waiting for sunrise in spring with an amazing colors,Not Suicide post,waiting sunrise spring amazing color
good so far thanks hope yours will treat you well too,Not Suicide post,good far thanks hope treat well
ok then might not be for a while though,Not Suicide post,ok might though
its only the 12th and i have completed 75 of my selling goal im happy,Not Suicide post,12th completed 75 selling goal im happy
but stilli highkey want him to be dead he f killed peach and beck ughcandice is back so imma just,Potential Suicide post ,stilli highkey want dead f killed peach beck ughcandice back imma
take care guys,Not Suicide post,take care guy
my whole family is so damn beautiful and im the staof the ugly generation of it and i just hate myself so much i cant even express it,Potential Suicide post ,whole family damn beautiful im staof ugly generation hate much cant even express
my coworkers are my guinea pigs lucky for them i'm testing recipes from my ultimate cookie cook book,Not Suicide post,coworkers guinea pig lucky 'm testing recipe ultimate cookie cook book
damn i hate myself,Potential Suicide post ,damn hate
no i want him to get indicted amp watch the kids go to jail i dont want him to die because the trump,Potential Suicide post ,want get indicted amp watch kid go jail dont want die trump
ok legit question can i fucking kill myself i'm 100 done with life,Potential Suicide post ,ok legit question fucking kill 'm 100 done life
how's the ski jumping going have you beat the missus yet,Not Suicide post,'s ski jumping going beat missus yet
i hope i fucken change cause damn do i hate myself,Potential Suicide post ,hope fucken change cause damn hate
really good and helpful about the various crisis in the dc universe i have read them all,Not Suicide post,really good helpful various crisis dc universe read
nothing to live for why because you have been nasty,Potential Suicide post ,nothing live nasty
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,lovely night best boyfriend two good friend
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to huthe people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally,Potential Suicide post ,girlfriend left hate college direction life want go sleep never wake ive thinking suicide lot recently different method reason havent done far much pussy access enough drug overdose live near plenty tall building seeing therapist psychiatrist pill given exacerbated symptom dont care leaving everything behind dont want huthe people around go living shit life others arent inconvenienced one day drunk enough finally pull trigger figuratively literally
you dont have to bring anything it's yr place,Not Suicide post,dont bring anything 's yr place
rosie does he think im going to be single forever,Potential Suicide post ,rosie think im going single forever
chickfila bonus,Not Suicide post,chickfila bonus
yeah 16kg is around 40lbs glad you liked the interview i did with steve cotter quigong is sucha valuable paof any training,Not Suicide post,yeah 16kg around 40lbs glad liked interview steve cotter quigong sucha valuable paof training
what do you want to know about modx cms maybe i can help you,Not Suicide post,want know modx cm maybe help
i'm home from school yay wasn't that bad actually and i had a nice dinner with graceeeeee,Not Suicide post,'m home school yay n't bad actually nice dinner graceeeeee
im hoping my stress level will go down when my aunt is gone i cant relax am exhausted and can't focus on a dam,Potential Suicide post ,im hoping stress level go aunt gone cant relax exhausted ca n't focus dam
a friend i knew online from last night finally added me up on his messenger,Not Suicide post,friend knew online last night finally added messenger
i jst sneezed twice me thinks there's at least one ghost in my house now,Not Suicide post,jst sneezed twice think 's least one ghost house
thanks wani,Not Suicide post,thanks wani
haha get all your stress out x,Not Suicide post,haha get stress x
just added a little more grist to the mill,Not Suicide post,added little grist mill
you want every vote counted no matter if the voter is dead move to a different precinct ou,Potential Suicide post ,want every vote counted matter voter dead move different precinct ou
our barefoot range is a great alternative when you need to wear shoes they allow you foot move as though it were barefoot,Not Suicide post,barefoot range great alternative need wear shoe allow foot move though barefoot
there are no perks of being this ugly i deserve an award or something at least if im going to die alone,Potential Suicide post ,perk ugly deserve award something least im going die alone
random commenter asked why i had such an extreme social warrior agenda in magnus chase what he calls extreme social jus,Potential Suicide post ,random commenter asked extreme social warrior agenda magnus chase call extreme social jus
it's tuesdayat workstill riding the high from the workout last night it should be a good day,Not Suicide post,'s tuesdayat workstill riding high workout last night good day
so sad that i can't protect these cats and i don't know whats ever bothering them i don't know why this stuff has,Potential Suicide post ,sad ca n't protect cat n't know whats ever bothering n't know stuff
never been to war but i get terrible nightmares that wake me up fighting for my life,Potential Suicide post ,never war get terrible nightmare wake fighting life
cool,Not Suicide post,cool
ok that dinner rocked,Not Suicide post,ok dinner rocked
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,stuck every time try kill cant go cant keep living feeling way cant let die
damn i hate when i type so fast and the autocorrect changes go unnoticed smh at myself,Potential Suicide post ,damn hate type fast autocorrect change go unnoticed smh
shes doing her best,Not Suicide post,shes best
live your best life,Not Suicide post,live best life
all i want is the truth,Not Suicide post,want truth
we are not fussy about age here as long as females are between 1825 i changed the rules lol,Not Suicide post,fussy age long female 1825 changed rule lol
im just going to go ahead and kill myself already done for the fucking day,Potential Suicide post ,im going go ahead kill already done fucking day
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in shoi can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha,Potential Suicide post ,wait mum fucking die wait die going lie train day foolow suiti wait would kill able kill sooner two intimate relationship shoi kill gun forbiden country got knife brick cant bloody slow method anything tonsil stink hate human stench form except dashas shit hate body hate artery nose lip saliva eye hate human body except dashas one want fuck dasha
tania i think you should get athene and the rest of the crew on twitter,Not Suicide post,tania think get athene rest crew twitter
n i got yr pic posing in the server room,Not Suicide post,n got yr pic posing server room
bye bye going to sleep finally xdddd d p,Not Suicide post,bye bye going sleep finally xdddd p
working on a film have been busy have a nice day everyone,Not Suicide post,working film busy nice day everyone
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post ,want die go commit suicide give injection unconconscious end nightmare life want die
i want to play with it,Not Suicide post,want play
thanks to everyone who's sent me work this year you'll pleased to know i've just planted 85 trees in india with some of the profits x,Not Suicide post,thanks everyone 's sent work year 'll pleased know 've planted 85 tree india profit x
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post ,notice giving life n becoming alcoholic bc 'm miserable n want die farewell ill drunk
new iphone is completely updated sun shining in derry tis a pretty day,Not Suicide post,new iphone completely updated sun shining derry ti pretty day
i want to be a doctor,Not Suicide post,want doctor
cash in the attic is ok i prefer homes under the hammer haha i do love being off school,Not Suicide post,cash attic ok prefer home hammer haha love school
ill ride for my dawgs any day but at the end of the day i already know where the streets can take you amp i what hap,Potential Suicide post ,ill ride dawgs day end day already know street take amp hap
i want her,Not Suicide post,want
well compared to other areas west of us i'll take our 50 degrees and run with it,Not Suicide post,well compared area west u 'll take 50 degree run
aw i am so jealous please take me with you,Not Suicide post,aw jealous please take
blaine mni dont want to be here anymore,Potential Suicide post ,blaine mni dont want anymore
scared of death tired of living,Potential Suicide post ,scared death tired living
take it all back was so fun,Not Suicide post,take back fun
ive had enough of life and the pain it causes,Potential Suicide post ,ive enough life pain cause
oh my god the cringe i cant,Potential Suicide post ,oh god cringe cant
i love your shh tattoo did it hui think i'm going to get it,Not Suicide post,love shh tattoo hui think 'm going get
i literally cant explain everything so much has happened i dont want to be here anymore wtf is even the point i literally,Potential Suicide post ,literally cant explain everything much happened dont want anymore wtf even point literally
i want him,Not Suicide post,want
had a juice box this morning you never know the joy a juice box can bring until you have one later on in life,Not Suicide post,juice box morning never know joy juice box bring one later life
she didn't want him to go out with other women,Not Suicide post,n't want go woman
you're welcome it was a great way to be introduced to your music,Not Suicide post,'re welcome great way introduced music
awesome can't wait to see it,Not Suicide post,awesome ca n't wait see
my heais so crushed,Potential Suicide post ,heais crushed
ooo apple store is down so close credit card ready,Not Suicide post,ooo apple store close credit card ready
youve changed for the fucking worse i cant believe that you could really go back on all ur hard work like that,Potential Suicide post ,youve changed fucking worse cant believe could really go back ur hard work like
not just because the house has never had a black woman in leadership but because,Not Suicide post,house never black woman leadership
hey golden is here with me and just wanted to say hi and have a great morning,Not Suicide post,hey golden wanted say hi great morning
goooooood morning twitterworld,Not Suicide post,goooooood morning twitterworld
a revolution in household detergent introducing get one now while stocks last,Not Suicide post,revolution household detergent introducing get one stock last
everything that youve ever dreamed of,Potential Suicide post ,everything youve ever dreamed
congrats ill def go and suppothe tc media takeover,Not Suicide post,congrats ill def go suppothe tc medium takeover
going to bed goodnightttttt,Not Suicide post,going bed goodnightttttt
going to school and enjoying my last day as a 16 year old but too,Not Suicide post,going school enjoying last day 16 year old
hmmmnot goodcarrot juice and marmalade on toast may help,Not Suicide post,hmmmnot goodcarrot juice marmalade toast may help
im tired and sick of everything i want to die,Potential Suicide post ,im tired sick everything want die
no one has had more of an impact on my career and everything we do at marvel studios than stan lee stan leaves an extr,Not Suicide post,one impact career everything marvel studio stan lee stan leaf extr
9 months ago my grandmother passed away 8 months ago i got my heacompletely broken 7 months ago i almost attem,Potential Suicide post ,9 month ago grandmother passed away 8 month ago got heacompletely broken 7 month ago almost attem
really tired of everything it's all just so lame and gay nothing serious us ever going to happen an,Potential Suicide post ,really tired everything 's lame gay nothing serious u ever going happen
trying to figure out how this works,Not Suicide post,trying figure work
my life is miserable,Potential Suicide post ,life miserable
positive mental attitude today can't be as bad as yesterday,Not Suicide post,positive mental attitude today ca n't bad yesterday
good morning all,Not Suicide post,good morning
yay just found out amy is having a girl lil bonita im so excitednow i can go by little girly things for the babes,Not Suicide post,yay found amy girl lil bonita im excitednow go little girly thing babe
i am constantly amazed by our technology it makes me wonder now check out this rad song quottrippingquot,Not Suicide post,constantly amazed technology make wonder check rad song quottrippingquot
damn i fucking hate myself,Potential Suicide post ,damn fucking hate
snuggling in bed with my little babyahhhh,Not Suicide post,snuggling bed little babyahhhh
mhm up ohh early for me amp i feel like whatching open arms again by gary go,Not Suicide post,mhm ohh early amp feel like whatching open arm gary go
isn't the best twitter client for me it's the simplicity and allin1 that makes me love it,Not Suicide post,n't best twitter client 's simplicity allin1 make love
ahhhh yeah i was but their updates were boring me so quotunfollowedquot them you'll have to win and take me on holiday,Not Suicide post,ahhhh yeah update boring quotunfollowedquot 'll win take holiday
could be mine grew out down my back and then all fell off,Not Suicide post,could mine grew back fell
what a fun day,Not Suicide post,fun day
vou ler atd foi uma maratona let's just say i'm glad it's over lol,Not Suicide post,vou ler atd foi uma maratona let 's say 'm glad 's lol
laughter is indeed the best medicine whatever ur situation todayfind a reason 2 smile wholeheartedly god is goodfaithfulamploves you lt3,Not Suicide post,laughter indeed best medicine whatever ur situation todayfind reason 2 smile wholeheartedly god goodfaithfulamploves lt3
they want people like me dead they don't want to help me if i was in canada israel or germany i wo,Potential Suicide post ,want people like dead n't want help canada israel germany wo
enjoyed the ndubz gig last night and it finished early which is always a bonus,Not Suicide post,enjoyed ndubz gig last night finished early always bonus
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the huis too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end,Potential Suicide post ,think tonight dont care nothing left dont care something great promising stripped past bone splinter pissed splinter dont want happiness dont want dream dont care post note everyone desperately try stop know care die dead numb longer scared huis much got ta go nothing left lot love give gone wanted someone hear end
never get too attach cause people wake up with different feelings everyday,Potential Suicide post ,never get attach cause people wake different feeling everyday
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway,Potential Suicide post ,ever feel empty pick number 15 depending feel could write funeral speech point afew year would forgotten anyway
they don't do them in my size how r you,Not Suicide post,n't size r
it snowed okay there's not enough to build frosty but it snowed as long as it's cold it might as well snowenjoy your day,Not Suicide post,snowed okay 's enough build frosty snowed long 's cold might well snowenjoy day
yall im sad cause i keep seeing tweets about invisible and the fact that it was a suicide note and like i already,Potential Suicide post ,yall im sad cause keep seeing tweet invisible fact suicide note like already
i hate feeling the way i do,Potential Suicide post ,hate feeling way
glad to see spring making a comeback in denver today,Not Suicide post,glad see spring making comeback denver today
hello g'mrng wuzup hows twitterville while i was sleeping evrythings cool,Not Suicide post,hello g'mrng wuzup hows twitterville sleeping evrythings cool
nah i think going sideways is best really helps when dodging bullets,Not Suicide post,nah think going sideways best really help dodging bullet
im so done with today like i just want to fucking kill myself,Potential Suicide post ,im done today like want fucking kill
if you have any questions feel free to email us at salescouk or send a dm on twitter,Not Suicide post,question feel free email u salescouk send dm twitter
its been nearly three years but i still feel that kyloben solo doesnt deserve redemption the man killed his ow,Potential Suicide post ,nearly three year still feel kyloben solo doesnt deserve redemption man killed ow
all right so that's 200 for slytherin 590 for hufflepuff and 520 for ravenclaw sadly i'll have to cut these sprin,Potential Suicide post ,right 's 200 slytherin 590 hufflepuff 520 ravenclaw sadly 'll cut sprin
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako damn hate myself it's just me,Potential Suicide post ,ba't ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate 's
hey there sent you a dm,Not Suicide post,hey sent dm
you make the milk look really good in your pictures,Not Suicide post,make milk look really good picture
totally love this pic are you singing it in finnish,Not Suicide post,totally love pic singing finnish
,Not Suicide post,
ooh that's lovely,Not Suicide post,ooh 's lovely
you will fully bloom after all the hardships i love you,Not Suicide post,fully bloom hardship love
aw i'm so sorry try not to let it get to you too much they obviously didn't deserve you in the first p,Potential Suicide post ,aw 'm sorry try let get much obviously n't deserve first p
showcase quick vip romm on thursday,Not Suicide post,showcase quick vip romm thursday
is that me tony price is on here too as is fab,Not Suicide post,tony price fab
hey mariedees welcome to our twitter feed g'mornin' to ya,Not Suicide post,hey mariedees welcome twitter feed g'mornin ' ya
wow that was an experience you don't need to see repeated again glad he is ok,Not Suicide post,wow experience n't need see repeated glad ok
embedding a google calendar into a site is actually seriously easy,Not Suicide post,embedding google calendar site actually seriously easy
i die a little inside when i see an old person eating alone at a restaurant,Potential Suicide post ,die little inside see old person eating alone restaurant
i hate repeating myself dawg like damn,Potential Suicide post ,hate repeating dawg like damn
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post ,running option physically hurt breathe dream goal ambition motivation tried hospital er psyche ward therapist difference medication girlfriend person really loved wasnt family want go drug drink whatever fuck leaving nothing cant least talk feel hurt hurt much much pain dont know born suffer like god real want dead
1300 words,Not Suicide post,1300 word
barcelona spain even though we dont want too we know that we have too believe that youre not here anymore and we know that we have to be st,Potential Suicide post ,barcelona spain even though dont want know believe youre anymore know st
that is so coolgood to hearthanks for sharing,Not Suicide post,coolgood hearthanks sharing
debuted on this week's billboard social 50 at,Not Suicide post,debuted week 's billboard social 50
let me hate myself god fucking damn it,Potential Suicide post ,let hate god fucking damn
it is going to be sunny and 11 celcius friday and sunny and 15 saturday sweet,Not Suicide post,going sunny 11 celcius friday sunny 15 saturday sweet
i second to that ian thank you,Not Suicide post,second ian thank
in reality social media dont care about a mans mental health or dont want to speak on it until hes dead lets be real,Potential Suicide post ,reality social medium dont care man mental health dont want speak he dead let real
not everything is gold,Not Suicide post,everything gold
became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post ,became hot persistent day resting heavily tired flower
we used to have one but keeping a live wild animal in a cage surrounded by screaming drunk,Potential Suicide post ,used one keeping live wild animal cage surrounded screaming drunk
im so tired of everything can i die,Potential Suicide post ,im tired everything die
still listening to some great music i got yesterday amber pacific is awesome,Not Suicide post,still listening great music got yesterday amber pacific awesome
going to day care get to see hannah this should be a good day i hope so anyway,Not Suicide post,going day care get see hannah good day hope anyway
i almost feel bad for my next post almost,Not Suicide post,almost feel bad next post almost
thanks it's certainly better than it was midday yesterday at one point i was walking around like kryten from red dwarf,Not Suicide post,thanks 's certainly better midday yesterday one point walking around like kryten red dwarf
welcome to the quottwitterspherequot i like your name for it it's fun but can get super addicting,Not Suicide post,welcome quottwitterspherequot like name 's fun get super addicting
how did you know i love it,Not Suicide post,know love
every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up,Potential Suicide post ,every day brings closer death 21 year old working student want kill life unbearable skill talent absolutely boring person spend free time alone really want find girlfriend see way could find one useless like used go away sadness listening music day bored music want go sleep never wake
can i have yours clouds have come in i fear i may be too late to enjoy the weather,Not Suicide post,cloud come fear may late enjoy weather
that is great to hear thanks chip,Not Suicide post,great hear thanks chip
completely devestated by the fires affecting my community i am one of the lucky ones my animals and love of my life made,Not Suicide post,completely devestated fire affecting community one lucky one animal love life made
ah 90's pop was so good,Not Suicide post,ah 90 's pop good
i'm leaving the laptop at home i'll put up with tweetie i can get dms on gmail new friends can always send me their email addy,Not Suicide post,'m leaving laptop home 'll put tweetie get dm gmail new friend always send email addy
thank god for slept in and he took ava to daycare,Not Suicide post,thank god slept took ava daycare
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are going to get better,Potential Suicide post ,dont know keep trying home life always incredibly toxic parent always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pill take consider shoving handful mouth ending time lie bed wish could die without actually kill coward tired hearing thing going get better
amazing night and great dayi love my heels,Not Suicide post,amazing night great dayi love heel
tired of living life with the fear of not being liked so for now on fuck it im really livin now people,Potential Suicide post ,tired living life fear liked fuck im really livin people
jami probably drunk driver coming onto oncoming traffic,Potential Suicide post ,jami probably drunk driver coming onto oncoming traffic
me knowing damn well that i will hate myself for taking a 730 but doing it anyways,Potential Suicide post ,knowing damn well hate taking 730 anyways
i'm out of all my fucking meds bc my family thought it was the best to do since i got sick tired and sl,Potential Suicide post ,'m fucking med bc family thought best since got sick tired sl
never been to war but i get terrible nightmares that wake me up fighting for my life,Potential Suicide post ,never war get terrible nightmare wake fighting life
what's twitter oh this is twitter yea my poor little birdie no here comes the fail whale,Not Suicide post,'s twitter oh twitter yea poor little birdie come fail whale
im going to fucking die im tired of investing everything into a person and then have them throw it out i am not made,Potential Suicide post ,im going fucking die im tired investing everything person throw made
yo sometimes im just tired of living,Potential Suicide post ,yo sometimes im tired living
congratulations to ol anthony vereen for being named gpac football first team offense 2018,Not Suicide post,congratulation ol anthony vereen named gpac football first team offense 2018
aspiring to be as happy as in every aspect of life,Not Suicide post,aspiring happy every aspect life
i used to check the forbes 30 under 30 list every year to see if i could find a husband on it,Potential Suicide post ,used check forbes 30 30 list every year see could find husband
