Tweet,Suicide,Clean_Tweet
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,"['i', 'need', 'to', 'put', 'myself', 'to', 'rest', 'i', 've', 'crashed', 'my', 'motorcycle', 'today', 'i', 'don', 't', 'know', 'how', 'but', 'i', 'm', 'mostly', 'fine', 'it', 'was', 'the', 'most', 'beautiful', 'moment', 'of', 'my', 'life', 'i', 'know', 'it', 's', 'sick', 'to', 'think', 'that', 'but', 'it', 'felt', 'good', 'to', 'see', 'people', 'approach', 'me', 'to', 'help', 'me', 'after', 'the', 'crash', 'the', 'feeling', 'of', 'my', 'body', 'being', 'dragged', 'by', 'my', 'bike', 'for', 'several', 'meters', 'on', 'the', 'ground', 'looking', 'at', 'the', 'sky', 'while', 'this', 'one', 'song', 'played', 'in', 'my', 'earphonesi', 've', 'just', 'felt', 'emptiness', 'for', 'the', 'past', 'yearsi', 'don', 't', 'want', 'this', 'second', 'chance', 'i', 'want', 'to', 'get', 'on', 'my', 'broken', 'bike', 'bring', 'it', 'up', 'to', 'speed', 'one', 'last', 'time', 'and', 'then', 'just', 'end', 'it', 'all', 'i', 'just', 'don', 't', 'want', 'to', 'drown', 'anymore', 'please']"
brushin' mah teef secularly,Not Suicide post,"['brushin', ""'"", 'mah', 'teef', 'secularly']"
i'll be in london today wave if you see me,Not Suicide post,"['i', ""'ll"", 'be', 'in', 'london', 'today', 'wave', 'if', 'you', 'see', 'me']"
i am looking for the berocca then all will be well,Not Suicide post,"['i', 'am', 'looking', 'for', 'the', 'berocca', 'then', 'all', 'will', 'be', 'well']"
thank you i thought it was pass it around have a great day luv ur stuff,Not Suicide post,"['thank', 'you', 'i', 'thought', 'it', 'was', 'pass', 'it', 'around', 'have', 'a', 'great', 'day', 'luv', 'ur', 'stuff']"
i want to die i dont deserve a piece of anything i dont belong anywhere im sick and tired of everything the sa,Potential Suicide post ,"['i', 'want', 'to', 'die', 'i', 'dont', 'deserve', 'a', 'piece', 'of', 'anything', 'i', 'dont', 'belong', 'anywhere', 'im', 'sick', 'and', 'tired', 'of', 'everything', 'the', 'sa']"
i fucking hate my whole family all they do is making me feel fat and i'm so done with feeling bad about my body and,Potential Suicide post ,"['i', 'fucking', 'hate', 'my', 'whole', 'family', 'all', 'they', 'do', 'is', 'making', 'me', 'feel', 'fat', 'and', 'i', ""'m"", 'so', 'done', 'with', 'feeling', 'bad', 'about', 'my', 'body', 'and']"
i luv your blog too fashion is lt3,Not Suicide post,"['i', 'luv', 'your', 'blog', 'too', 'fashion', 'is', 'lt3']"
sorry for your loss this post gave me goosebumps because although i havent thought of suicide your d,Potential Suicide post ,"['sorry', 'for', 'your', 'loss', 'this', 'post', 'gave', 'me', 'goosebumps', 'because', 'although', 'i', 'havent', 'thought', 'of', 'suicide', 'your', 'd']"
ha ha i started something with the rocquestar thing didn't i,Not Suicide post,"['ha', 'ha', 'i', 'started', 'something', 'with', 'the', 'rocquestar', 'thing', 'did', ""n't"", 'i']"
photoboth is black and white and wayyyyy old we call him herbelol i love him he's like a living legend gotta love berlin lt3,Not Suicide post,"['photoboth', 'is', 'black', 'and', 'white', 'and', 'wayyyyy', 'old', 'we', 'call', 'him', 'herbelol', 'i', 'love', 'him', 'he', ""'s"", 'like', 'a', 'living', 'legend', 'got', 'ta', 'love', 'berlin', 'lt3']"
the one we were looking out for,Not Suicide post,"['the', 'one', 'we', 'were', 'looking', 'out', 'for']"
he want to kill her,Not Suicide post,"['he', 'want', 'to', 'kill', 'her']"
you understand what the fuck im doing wrong with my life,Potential Suicide post ,"['you', 'understand', 'what', 'the', 'fuck', 'im', 'doing', 'wrong', 'with', 'my', 'life']"
awwwwww i really wish i could be there to give ya some serious tlc rachel hunsending ya huge hugz and kisses,Not Suicide post,"['awwwwww', 'i', 'really', 'wish', 'i', 'could', 'be', 'there', 'to', 'give', 'ya', 'some', 'serious', 'tlc', 'rachel', 'hunsending', 'ya', 'huge', 'hugz', 'and', 'kisses']"
looking for help on testing prawn pdfs with cucumber all i can find is prawn and cucumber salad recipes,Not Suicide post,"['looking', 'for', 'help', 'on', 'testing', 'prawn', 'pdfs', 'with', 'cucumber', 'all', 'i', 'can', 'find', 'is', 'prawn', 'and', 'cucumber', 'salad', 'recipes']"
he should tell them that his sister fixed it,Not Suicide post,"['he', 'should', 'tell', 'them', 'that', 'his', 'sister', 'fixed', 'it']"
something weird in that i couldn't stop thinking about him couldn't sleep then out of some old papers a card i di,Potential Suicide post ,"['something', 'weird', 'in', 'that', 'i', 'could', ""n't"", 'stop', 'thinking', 'about', 'him', 'could', ""n't"", 'sleep', 'then', 'out', 'of', 'some', 'old', 'papers', 'a', 'card', 'i', 'di']"
congratulations john i'm a creepy actor not a sweet actor,Not Suicide post,"['congratulations', 'john', 'i', ""'m"", 'a', 'creepy', 'actor', 'not', 'a', 'sweet', 'actor']"
he he thanks,Not Suicide post,"['he', 'he', 'thanks']"
in the photoshop,Not Suicide post,"['in', 'the', 'photoshop']"
normal workday for me i do still have plansaspirations to submit some info for the miz mag honest i do,Not Suicide post,"['normal', 'workday', 'for', 'me', 'i', 'do', 'still', 'have', 'plansaspirations', 'to', 'submit', 'some', 'info', 'for', 'the', 'miz', 'mag', 'honest', 'i', 'do']"
easy way is to go to mbk and get it hacked got a cn rom on his th phone,Not Suicide post,"['easy', 'way', 'is', 'to', 'go', 'to', 'mbk', 'and', 'get', 'it', 'hacked', 'got', 'a', 'cn', 'rom', 'on', 'his', 'th', 'phone']"
and i just dont want to fucking be here anymore please someone just fucking end me because i know itll be worse for everyone if i do it myself and fuck do i want to but please please someone just kill me please,Potential Suicide post ,"['and', 'i', 'just', 'dont', 'want', 'to', 'fucking', 'be', 'here', 'anymore', 'please', 'someone', 'just', 'fucking', 'end', 'me', 'because', 'i', 'know', 'itll', 'be', 'worse', 'for', 'everyone', 'if', 'i', 'do', 'it', 'myself', 'and', 'fuck', 'do', 'i', 'want', 'to', 'but', 'please', 'please', 'someone', 'just', 'kill', 'me', 'please']"
i'm tired,Not Suicide post,"['i', ""'m"", 'tired']"
my cullen family jewellery set arrived this morning so happy,Not Suicide post,"['my', 'cullen', 'family', 'jewellery', 'set', 'arrived', 'this', 'morning', 'so', 'happy']"
getting ready to take kids to the farm,Not Suicide post,"['getting', 'ready', 'to', 'take', 'kids', 'to', 'the', 'farm']"
these boys might find it shocking that some internet stranger like myself would say fuck these guys,Potential Suicide post ,"['these', 'boys', 'might', 'find', 'it', 'shocking', 'that', 'some', 'internet', 'stranger', 'like', 'myself', 'would', 'say', 'fuck', 'these', 'guys']"
i ate candy cigarettes but i didn't eat the wax once i drank the coke i did however eat the candy lips,Not Suicide post,"['i', 'ate', 'candy', 'cigarettes', 'but', 'i', 'did', ""n't"", 'eat', 'the', 'wax', 'once', 'i', 'drank', 'the', 'coke', 'i', 'did', 'however', 'eat', 'the', 'candy', 'lips']"
i damn near hate smoking by myself but sometimes i like it cause i cant finish blunts and i be having some for later,Potential Suicide post ,"['i', 'damn', 'near', 'hate', 'smoking', 'by', 'myself', 'but', 'sometimes', 'i', 'like', 'it', 'cause', 'i', 'cant', 'finish', 'blunts', 'and', 'i', 'be', 'having', 'some', 'for', 'later']"
is going to get some cereallllllll will be living off lucky charms next week woopwoop,Not Suicide post,"['is', 'going', 'to', 'get', 'some', 'cereallllllll', 'will', 'be', 'living', 'off', 'lucky', 'charms', 'next', 'week', 'woopwoop']"
quottagged as punk punk rock pop punk new york more people should listen to this band quot,Not Suicide post,"['quottagged', 'as', 'punk', 'punk', 'rock', 'pop', 'punk', 'new', 'york', 'more', 'people', 'should', 'listen', 'to', 'this', 'band', 'quot']"
it's a great time in life we can help you design an amazing wedding,Not Suicide post,"['it', ""'s"", 'a', 'great', 'time', 'in', 'life', 'we', 'can', 'help', 'you', 'design', 'an', 'amazing', 'wedding']"
wow wow good to hear,Not Suicide post,"['wow', 'wow', 'good', 'to', 'hear']"
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hulonely or overwhelmed the one thought i cant shake is killing myself,Potential Suicide post ,"['feeling', 'overwhelmed', 'and', 'wanting', 'to', 'die', 'i', 'tried', 'to', 'kill', 'myself', 'today', 'all', 'i', 'wanted', 'was', 'my', 'boyfriend', 'to', 'help', 'me', 'somehow', 'since', 'he', 'sees', 'me', 'on', 'this', 'depression', 'spiral', 'but', 'all', 'he', 'says', 'is', 'it', 'will', 'get', 'better', 'i', 'know', 'it', 'will', 'but', 'currently', 'i', 'feel', 'trapped', 'in', 'my', 'own', 'home', 'i', 'have', 'no', 'friends', 'and', 'i', 'constantly', 'feel', 'weak', 'or', 'unmotivated', 'i', 'have', 'no', 'desire', 'to', 'have', 'sex', 'with', 'my', 'partner', 'and', 'tend', 'to', 'find', 'the', 'worst', 'in', 'him', 'lately', 'i', 'love', 'him', 'but', 'some', 'things', 'he', 'does', 'amplifies', 'my', 'depression', 'i', 'dont', 'want', 'to', 'die', 'but', 'when', 'i', 'get', 'hulonely', 'or', 'overwhelmed', 'the', 'one', 'thought', 'i', 'cant', 'shake', 'is', 'killing', 'myself']"
asking everyone to send out happy 'headfirst' vibes to,Not Suicide post,"['asking', 'everyone', 'to', 'send', 'out', 'happy', ""'headfirst"", ""'"", 'vibes', 'to']"
and waiting for sunrise in spring with an amazing colors,Not Suicide post,"['and', 'waiting', 'for', 'sunrise', 'in', 'spring', 'with', 'an', 'amazing', 'colors']"
good so far thanks hope yours will treat you well too,Not Suicide post,"['good', 'so', 'far', 'thanks', 'hope', 'yours', 'will', 'treat', 'you', 'well', 'too']"
ok then might not be for a while though,Not Suicide post,"['ok', 'then', 'might', 'not', 'be', 'for', 'a', 'while', 'though']"
its only the 12th and i have completed 75 of my selling goal im happy,Not Suicide post,"['its', 'only', 'the', '12th', 'and', 'i', 'have', 'completed', '75', 'of', 'my', 'selling', 'goal', 'im', 'happy']"
but stilli highkey want him to be dead he f killed peach and beck ughcandice is back so imma just,Potential Suicide post ,"['but', 'stilli', 'highkey', 'want', 'him', 'to', 'be', 'dead', 'he', 'f', 'killed', 'peach', 'and', 'beck', 'ughcandice', 'is', 'back', 'so', 'imma', 'just']"
take care guys,Not Suicide post,"['take', 'care', 'guys']"
my whole family is so damn beautiful and im the staof the ugly generation of it and i just hate myself so much i cant even express it,Potential Suicide post ,"['my', 'whole', 'family', 'is', 'so', 'damn', 'beautiful', 'and', 'im', 'the', 'staof', 'the', 'ugly', 'generation', 'of', 'it', 'and', 'i', 'just', 'hate', 'myself', 'so', 'much', 'i', 'cant', 'even', 'express', 'it']"
my coworkers are my guinea pigs lucky for them i'm testing recipes from my ultimate cookie cook book,Not Suicide post,"['my', 'coworkers', 'are', 'my', 'guinea', 'pigs', 'lucky', 'for', 'them', 'i', ""'m"", 'testing', 'recipes', 'from', 'my', 'ultimate', 'cookie', 'cook', 'book']"
damn i hate myself,Potential Suicide post ,"['damn', 'i', 'hate', 'myself']"
no i want him to get indicted amp watch the kids go to jail i dont want him to die because the trump,Potential Suicide post ,"['no', 'i', 'want', 'him', 'to', 'get', 'indicted', 'amp', 'watch', 'the', 'kids', 'go', 'to', 'jail', 'i', 'dont', 'want', 'him', 'to', 'die', 'because', 'the', 'trump']"
ok legit question can i fucking kill myself i'm 100 done with life,Potential Suicide post ,"['ok', 'legit', 'question', 'can', 'i', 'fucking', 'kill', 'myself', 'i', ""'m"", '100', 'done', 'with', 'life']"
how's the ski jumping going have you beat the missus yet,Not Suicide post,"['how', ""'s"", 'the', 'ski', 'jumping', 'going', 'have', 'you', 'beat', 'the', 'missus', 'yet']"
i hope i fucken change cause damn do i hate myself,Potential Suicide post ,"['i', 'hope', 'i', 'fucken', 'change', 'cause', 'damn', 'do', 'i', 'hate', 'myself']"
really good and helpful about the various crisis in the dc universe i have read them all,Not Suicide post,"['really', 'good', 'and', 'helpful', 'about', 'the', 'various', 'crisis', 'in', 'the', 'dc', 'universe', 'i', 'have', 'read', 'them', 'all']"
nothing to live for why because you have been nasty,Potential Suicide post ,"['nothing', 'to', 'live', 'for', 'why', 'because', 'you', 'have', 'been', 'nasty']"
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,"['had', 'a', 'lovely', 'night', 'with', 'the', 'best', 'boyfriend', 'and', 'two', 'very', 'good', 'friends']"
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to huthe people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally,Potential Suicide post ,"['my', 'girlfriend', 'left', 'me', 'i', 'hate', 'college', 'i', 'have', 'no', 'direction', 'in', 'life', 'i', 'just', 'want', 'to', 'go', 'to', 'sleep', 'and', 'never', 'wake', 'up', 'ive', 'been', 'thinking', 'about', 'suicide', 'a', 'lot', 'recently', 'and', 'different', 'methods', 'the', 'only', 'reason', 'i', 'havent', 'done', 'it', 'so', 'far', 'is', 'because', 'i', 'am', 'too', 'much', 'of', 'a', 'pussy', 'i', 'have', 'access', 'to', 'enough', 'drugs', 'to', 'overdose', 'on', 'i', 'live', 'near', 'plenty', 'of', 'tall', 'buildings', 'i', 'am', 'seeing', 'a', 'therapist', 'and', 'psychiatrist', 'all', 'the', 'pills', 'they', 've', 'given', 'me', 'have', 'only', 'exacerbated', 'my', 'symptoms', 'i', 'dont', 'care', 'about', 'leaving', 'everything', 'behind', 'because', 'i', 'dont', 'want', 'to', 'huthe', 'people', 'around', 'me', 'but', 'why', 'should', 'i', 'go', 'on', 'living', 'my', 'shit', 'life', 'just', 'so', 'others', 'arent', 'inconvenienced', 'one', 'of', 'these', 'days', 'i', 'll', 'be', 'drunk', 'enough', 'to', 'finally', 'pull', 'the', 'trigger', 'figuratively', 'literally']"
you dont have to bring anything it's yr place,Not Suicide post,"['you', 'dont', 'have', 'to', 'bring', 'anything', 'it', ""'s"", 'yr', 'place']"
rosie does he think im going to be single forever,Potential Suicide post ,"['rosie', 'does', 'he', 'think', 'im', 'going', 'to', 'be', 'single', 'forever']"
chickfila bonus,Not Suicide post,"['chickfila', 'bonus']"
yeah 16kg is around 40lbs glad you liked the interview i did with steve cotter quigong is sucha valuable paof any training,Not Suicide post,"['yeah', '16kg', 'is', 'around', '40lbs', 'glad', 'you', 'liked', 'the', 'interview', 'i', 'did', 'with', 'steve', 'cotter', 'quigong', 'is', 'sucha', 'valuable', 'paof', 'any', 'training']"
what do you want to know about modx cms maybe i can help you,Not Suicide post,"['what', 'do', 'you', 'want', 'to', 'know', 'about', 'modx', 'cms', 'maybe', 'i', 'can', 'help', 'you']"
i'm home from school yay wasn't that bad actually and i had a nice dinner with graceeeeee,Not Suicide post,"['i', ""'m"", 'home', 'from', 'school', 'yay', 'was', ""n't"", 'that', 'bad', 'actually', 'and', 'i', 'had', 'a', 'nice', 'dinner', 'with', 'graceeeeee']"
im hoping my stress level will go down when my aunt is gone i cant relax am exhausted and can't focus on a dam,Potential Suicide post ,"['im', 'hoping', 'my', 'stress', 'level', 'will', 'go', 'down', 'when', 'my', 'aunt', 'is', 'gone', 'i', 'cant', 'relax', 'am', 'exhausted', 'and', 'ca', ""n't"", 'focus', 'on', 'a', 'dam']"
a friend i knew online from last night finally added me up on his messenger,Not Suicide post,"['a', 'friend', 'i', 'knew', 'online', 'from', 'last', 'night', 'finally', 'added', 'me', 'up', 'on', 'his', 'messenger']"
i jst sneezed twice me thinks there's at least one ghost in my house now,Not Suicide post,"['i', 'jst', 'sneezed', 'twice', 'me', 'thinks', 'there', ""'s"", 'at', 'least', 'one', 'ghost', 'in', 'my', 'house', 'now']"
thanks wani,Not Suicide post,"['thanks', 'wani']"
haha get all your stress out x,Not Suicide post,"['haha', 'get', 'all', 'your', 'stress', 'out', 'x']"
just added a little more grist to the mill,Not Suicide post,"['just', 'added', 'a', 'little', 'more', 'grist', 'to', 'the', 'mill']"
you want every vote counted no matter if the voter is dead move to a different precinct ou,Potential Suicide post ,"['you', 'want', 'every', 'vote', 'counted', 'no', 'matter', 'if', 'the', 'voter', 'is', 'dead', 'move', 'to', 'a', 'different', 'precinct', 'ou']"
our barefoot range is a great alternative when you need to wear shoes they allow you foot move as though it were barefoot,Not Suicide post,"['our', 'barefoot', 'range', 'is', 'a', 'great', 'alternative', 'when', 'you', 'need', 'to', 'wear', 'shoes', 'they', 'allow', 'you', 'foot', 'move', 'as', 'though', 'it', 'were', 'barefoot']"
there are no perks of being this ugly i deserve an award or something at least if im going to die alone,Potential Suicide post ,"['there', 'are', 'no', 'perks', 'of', 'being', 'this', 'ugly', 'i', 'deserve', 'an', 'award', 'or', 'something', 'at', 'least', 'if', 'im', 'going', 'to', 'die', 'alone']"
random commenter asked why i had such an extreme social warrior agenda in magnus chase what he calls extreme social jus,Potential Suicide post ,"['random', 'commenter', 'asked', 'why', 'i', 'had', 'such', 'an', 'extreme', 'social', 'warrior', 'agenda', 'in', 'magnus', 'chase', 'what', 'he', 'calls', 'extreme', 'social', 'jus']"
it's tuesdayat workstill riding the high from the workout last night it should be a good day,Not Suicide post,"['it', ""'s"", 'tuesdayat', 'workstill', 'riding', 'the', 'high', 'from', 'the', 'workout', 'last', 'night', 'it', 'should', 'be', 'a', 'good', 'day']"
so sad that i can't protect these cats and i don't know whats ever bothering them i don't know why this stuff has,Potential Suicide post ,"['so', 'sad', 'that', 'i', 'ca', ""n't"", 'protect', 'these', 'cats', 'and', 'i', 'do', ""n't"", 'know', 'whats', 'ever', 'bothering', 'them', 'i', 'do', ""n't"", 'know', 'why', 'this', 'stuff', 'has']"
never been to war but i get terrible nightmares that wake me up fighting for my life,Potential Suicide post ,"['never', 'been', 'to', 'war', 'but', 'i', 'get', 'terrible', 'nightmares', 'that', 'wake', 'me', 'up', 'fighting', 'for', 'my', 'life']"
cool,Not Suicide post,['cool']
ok that dinner rocked,Not Suicide post,"['ok', 'that', 'dinner', 'rocked']"
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,"['stuck', 'every', 'time', 'i', 'try', 'and', 'kill', 'myself', 'i', 'cant', 'go', 'through', 'with', 'it', 'but', 'i', 'cant', 'keep', 'living', 'feeling', 'this', 'way', 'why', 'cant', 'i', 'just', 'let', 'myself', 'die']"
damn i hate when i type so fast and the autocorrect changes go unnoticed smh at myself,Potential Suicide post ,"['damn', 'i', 'hate', 'when', 'i', 'type', 'so', 'fast', 'and', 'the', 'autocorrect', 'changes', 'go', 'unnoticed', 'smh', 'at', 'myself']"
shes doing her best,Not Suicide post,"['shes', 'doing', 'her', 'best']"
live your best life,Not Suicide post,"['live', 'your', 'best', 'life']"
all i want is the truth,Not Suicide post,"['all', 'i', 'want', 'is', 'the', 'truth']"
